date,equity_curve
2024-07-30,122054.37795190739
2024-07-31,122613.78125505071
2024-08-01,122942.12016545636
2024-08-02,119753.31182319373
2024-08-05,116174.50749163427
2024-08-06,116626.16055982222
2024-08-07,117443.86512065021
2024-08-08,116663.87314205659
2024-08-09,118235.23073515578
2024-08-12,117309.7759393724
2024-08-13,117345.99199056574
2024-08-14,120094.5209005524
2024-08-16,123471.89215398693
2024-08-19,125539.49944029725
2024-08-20,126470.64105403658
2024-08-21,127259.01360646008
2024-08-22,125875.02169969995
2024-08-23,124809.7909046828
2024-08-26,125887.59256044473
2024-08-27,125739.43598738109
2024-08-28,125988.45875261129
2024-08-29,126149.1861864197
2024-08-30,127322.1672163922
2024-09-02,126407.78675031257
2024-09-03,126164.45080303836
2024-09-04,125238.99600725502
2024-09-05,125146.8096951265
2024-09-06,124609.8543575989
2024-09-09,124408.7205856822
2024-09-10,126038.74219559041
2024-09-11,125241.98906933708
2024-09-12,126314.10390714304
2024-09-13,126451.18615050297
2024-09-16,126189.59252452795
2024-09-17,125977.08511669932
2024-09-18,121517.72192058792
2024-09-19,120119.66262204194
2024-09-20,119805.0917972139
2024-09-23,119346.55468623714
2024-09-24,119424.67360657977
2024-09-25,119521.34951183142
2024-09-26,120017.59920504256
2024-09-27,120470.44949806332
2024-09-30,119346.55468623714
2024-10-01,119888.8975355125
2024-10-03,118346.87195081783
2024-10-04,118892.20786217532
2024-10-07,119468.07300677014
2024-10-08,118920.04333953878
2024-10-09,118911.66276570893
2024-10-10,118197.51815292136
2024-10-11,116010.78699574369
2024-10-14,115660.00011972233
2024-10-15,115105.08640970215
2024-10-16,114494.20243874684
2024-10-17,114886.89218391752
2024-10-18,115560.92976480501
2024-10-21,114350.23615259811
2024-10-22,112546.61694192844
2024-10-23,113968.92004333939
2024-10-24,113454.71197763568
2024-10-25,113725.28478985695
2024-10-28,114658.52154705378
2024-10-29,114221.23517685989
2024-10-30,114484.62464008415
2024-10-31,111227.873788558
2024-11-01,111669.35044566682
2024-11-04,111107.25338664962
2024-11-05,111309.28507719093
2024-11-06,116026.35091857064
2024-11-07,116341.52035581508
2024-11-08,116232.27358981867
2024-11-11,117681.21494376025
2024-11-12,117644.9988925669
2024-11-13,116326.25573919642
2024-11-14,116201.4450503731
2024-11-18,112658.55746379877
2024-11-19,113220.654522816
2024-11-21,114153.89128001282
2024-11-22,118967.93233285232
2024-11-25,120943.65261324238
2024-11-26,121997.50977234758
2024-11-27,121432.71895745648
2024-11-28,118976.3129066822
2024-11-29,119703.62699263095
2024-12-02,119866.15026368866
2024-12-03,120597.65463655234
2024-12-04,122045.39876566107
2024-12-05,125118.67491155489
2024-12-06,124598.78002789522
2024-12-09,124784.94848940147
2024-12-10,124235.72159733727
2024-12-11,124092.6532298132
2024-12-12,124863.66602216054
2024-12-13,125394.63523552395
2024-12-16,123749.34900899701
2024-12-17,121319.28190454513
2024-12-18,121861.62475382052
2024-12-19,119732.95900103549
2024-12-20,116885.35973613155
2024-12-23,116548.93955810422
2024-12-24,117143.06238139982
2024-12-26,116851.83744081212
2024-12-27,116732.71356994477
2024-12-30,116563.00694989006
2024-12-31,114769.26484409132
